Партія,ТВО,№Р,Кандидат,Голосів,Голосів словами,%,Обраний?
Еко партія Берези,7,3,Гераймович Вероніка Анатоліївна,29,двадцять дев'ять,"0,03",Партія не пройшла
Еко партія Берези,12,5,Панченко Валентина Михайлівна,29,двадцять дев'ять,"0,03",Партія не пройшла
Еко партія Берези,12,6,Якименко Віталій Валерійович,29,двадцять дев'ять,"0,03",Партія не пройшла
Наш край,2,2,Пілкіна Катерина Олександрівна,29,двадцять дев'ять,"0,03",Партія не пройшла
Наш край,7,5,Онищенко Ольга Володимирівна,29,двадцять дев'ять,"0,03",Партія не пройшла
Правий сектор,12,4,Кікоть Наталія Валеріївна,29,двадцять дев'ять,"0,03",Партія не пройшла
Батьківщина,7,6,Муцький Петро Петрович,28,двадцять вісім,"0,03",Не пройшов
Народовладдя,7,10,Гришко Ганна Сергіївна,28,двадцять вісім,"0,03",Партія не пройшла
Наш край,12,8,Бабійчук Артем Володимирович,28,двадцять вісім,"0,03",Партія не пройшла
Радикальна партія Олега Ляшка,12,3,Федун Микита Юрійович,27,двадцять сім,"0,03",Партія не пройшла
Демократична сокира,7,8,Васильєва Анастасія Сергіївна,26,двадцять шість,"0,03",Партія не пройшла
Хвиля,12,3,Ткаченко Сергій Валерійович,26,двадцять шість,"0,03",Партія не пройшла
Еко партія Берези,7,2,Гріпас Олександр Петрович,25,двадцять п'ять,"0,03",Партія не пройшла
Єдність Олександра Омельченка,7,10,Нарійчук Лідія Володимирівна,24,двадцять чотири,"0,03",Не пройшов
За майбутнє,12,3,Освіцінський Андрій Русланович,24,двадцять чотири,"0,03",Партія не пройшла
За майбутнє,12,4,Іващенко Юлія Валеріївна,24,двадцять чотири,"0,03",Партія не пройшла
Народовладдя,7,7,Давиденко Анатолій Михайлович,24,двадцять чотири,"0,03",Партія не пройшла
Правий сектор,12,3,Гойсак Любомир Василь-Зіновійович,24,двадцять чотири,"0,03",Партія не пройшла
Пропозиція,7,3,Мусієнко Оксана Володимирівна,24,двадцять чотири,"0,03",Партія не пройшла
Хвиля,7,6,Тітамир Олег Миколайович,24,двадцять чотири,"0,03",Партія не пройшла
За майбутнє,7,6,Шолух Євгеній Іванович,22,двадцять два,"0,03",Партія не пройшла
Правий сектор,1,4,Архипенко Олена Анатоліївна,22,двадцять два,"0,03",Партія не пройшла
Пропозиція,1,3,Калініна Наталія Юріївна,22,двадцять два,"0,03",Партія не пройшла
Свобода,1,9,Чіколовець Ірина Федорівна,22,двадцять два,"0,03",Партія не пройшла
Свобода,1,12,Равлюк Христина Іванівна,22,двадцять два,"0,03",Партія не пройшла
Еко партія Берези,13,4,Гачечиладзе Івліна Василівна,21,двадцять один,"0,03",Партія не пройшла
Екологічна альтернатива,13,6,Командиров Олексій Вікторович,21,двадцять один,"0,03",Партія не пройшла
Наш край,13,3,Забудський Максим Олегович,21,двадцять один,"0,03",Партія не пройшла
Радикальна партія Олега Ляшка,13,2,Лиганова Надія Петрівна,21,двадцять один,"0,03",Партія не пройшла
Єдність Олександра Омельченка,1,9,Лось Галина Миколаївна,20,двадцять,"0,03",Не пройшов
За майбутнє,1,4,Чеславський Олег Євгенович,20,двадцять,"0,03",Партія не пройшла
За майбутнє,13,3,Панцюк Олена Петрівна,20,двадцять,"0,03",Партія не пройшла
Наш край,1,5,Січінава Олена Вячеславівна,20,двадцять,"0,03",Партія не пройшла
Наш край,1,10,Мікітен Сергій Анатолійович,20,двадцять,"0,03",Партія не пройшла
Радикальна партія Олега Ляшка,13,3,Шумейко Олена Володимирівна,20,двадцять,"0,03",Партія не пройшла
Народовладдя,1,7,Михайловська Юлія Валентинівна,19,дев'ятнадцять,"0,03",Партія не пройшла
Народовладдя,1,8,Коробко Микола Миколайович,19,дев'ятнадцять,"0,03",Партія не пройшла
Хвиля,1,3,Осовська Інеса Василівна,19,дев'ятнадцять,"0,03",Партія не пройшла
Хвиля,1,5,Лавренчук Дмитро Олександрович,19,дев'ятнадцять,"0,03",Партія не пройшла
Екологічна альтернатива,4,5,Рибачук Ірина Іллівна,18,вісімнадцять,"0,03",Партія не пройшла
Народовладдя,3,2,Ревук Микола Миколайович,18,вісімнадцять,"0,03",Партія не пройшла
Народовладдя,3,4,Євдокимов Дмитро Олександрович,18,вісімнадцять,"0,03",Партія не пройшла
Народовладдя,4,3,Капшученко-Шумейко Юлія Петрівна,18,вісімнадцять,"0,03",Партія не пройшла
Партія національного егоїзму,1,1,Єпіфанов Михайло Олександрович,18,вісімнадцять,"0,03",Партія не пройшла
Правий сектор,1,2,Худякова Олена Валеріївна,18,вісімнадцять,"0,03",Партія не пройшла
Правий сектор,9,2,Садова Ірина Анатоліївна,18,вісімнадцять,"0,03",Партія не пройшла
Правий сектор,9,4,Герасимович Катерина Сергіївна,18,вісімнадцять,"0,03",Партія не пройшла
Пропозиція,13,3,Здольник Михайло Володимирович,18,вісімнадцять,"0,03",Партія не пройшла
Радикальна партія Олега Ляшка,3,3,Ситнікова Христина Олексіївна,18,вісімнадцять,"0,03",Партія не пройшла
Свобода,1,11,Мотринчук Дмитро Йосипович,18,вісімнадцять,"0,03",Партія не пройшла
Свобода,3,7,Стукота Сергій Анатолійович,18,вісімнадцять,"0,03",Партія не пройшла
Свобода,13,5,Батурчак Марина Логинівна,18,вісімнадцять,"0,03",Партія не пройшла
Хвиля,9,1,Крамар Надія Ігорівна,18,вісімнадцять,"0,03",Партія не пройшла
Батьківщина,6,6,Щиголь Ірина Василівна,17,сімнадцять,"0,03",Не пройшов
Еко партія Берези,9,2,Осипець Зоя Сергіївна,17,сімнадцять,"0,03",Партія не пройшла
Екологічна альтернатива,6,5,Васюк Євгеній Олександрович,17,сімнадцять,"0,03",Партія не пройшла
Екологічна альтернатива,13,4,Курносов Святослав Ігорович,17,сімнадцять,"0,03",Партія не пройшла
За майбутнє,5,7,Корнієнко Юлія Василівна,17,сімнадцять,"0,03",Партія не пройшла
За майбутнє,5,8,Дубровський Денис Павлович,17,сімнадцять,"0,03",Партія не пройшла
Народовладдя,5,4,Кривець Олена Леонідівна,17,сімнадцять,"0,03",Партія не пройшла
Народовладдя,10,4,Кацевич Людмила Володимирівна,17,сімнадцять,"0,03",Партія не пройшла
Наш край,3,4,Лебезун Олег Вікторович,17,сімнадцять,"0,03",Партія не пройшла
Наш край,3,8,Дубровський Станіслав Костянтинович,17,сімнадцять,"0,03",Партія не пройшла
Наш край,5,5,Шишацький Дмитро Анатолійович,17,сімнадцять,"0,03",Партія не пройшла
Наш край,13,8,Власенко Вадим Олександрович,17,сімнадцять,"0,03",Партія не пройшла
Правий сектор,3,2,Гончарова Марія Юріївна,17,сімнадцять,"0,03",Партія не пройшла
Правий сектор,5,2,Микитюк Ганна Романівна,17,сімнадцять,"0,03",Партія не пройшла
Правий сектор,13,4,Шевченко Наталія Андріївна,17,сімнадцять,"0,03",Партія не пройшла
Пропозиція,13,2,Воробйова Ольга Володимирівна,17,сімнадцять,"0,03",Партія не пройшла
Радикальна партія Олега Ляшка,10,6,Бондар Дмитро Миколайович,17,сімнадцять,"0,03",Партія не пройшла
Рідна країна,3,4,Єрін Олексій Станіславович,17,сімнадцять,"0,03",Партія не пройшла
Свобода,4,12,Комбель Тетяна Федорівна,17,сімнадцять,"0,03",Партія не пройшла
Батьківщина,10,7,Панежда Андрій Михайлович,17,сімнадцять,"0,03",Не пройшов
Демократична сокира,3,6,Потайчук Святослав Володимирович,16,шістнадцять,"0,03",Партія не пройшла
Демократична сокира,10,4,Стовбчатий Олександр Анатолійович,16,шістнадцять,"0,03",Партія не пройшла
Еко партія Берези,11,4,Смирний Денис Анатолійович,16,шістнадцять,"0,03",Партія не пройшла
За майбутнє,4,2,Розвадовський Сергій Володимирович,16,шістнадцять,"0,03",Партія не пройшла
За майбутнє,10,2,Горшков Дмитро Вікторович,16,шістнадцять,"0,03",Партія не пройшла
Народовладдя,5,6,Іванов Володимир Миколайович,16,шістнадцять,"0,03",Партія не пройшла
Народовладдя,9,4,Перов Дмитро Анатолійович,16,шістнадцять,"0,03",Партія не пройшла
Наш край,3,3,Пальчикова-Козуб Льоля Олександрівна,16,шістнадцять,"0,03",Партія не пройшла
Радикальна партія Олега Ляшка,5,3,Маматов Олександр Леонідович,16,шістнадцять,"0,03",Партія не пройшла
Радикальна партія Олега Ляшка,6,3,Коваленко Іван Олександрович,16,шістнадцять,"0,03",Партія не пройшла
Разом сила,5,1,Чернявський Олександр Анатолійович,16,шістнадцять,"0,03",Партія не пройшла
Батьківщина,3,6,Луконіна Ганна Анатоліївна,16,шістнадцять,"0,03",Не пройшов
Демократична сокира,3,5,Білоусько Артем Юрійович,15,п'ятнадцять,"0,03",Партія не пройшла
Екологічна альтернатива,4,2,Загоруйчик Анастасія Олександрівна,15,п'ятнадцять,"0,03",Партія не пройшла
Екологічна альтернатива,10,3,Терезюк Євгенія Юріївна,15,п'ятнадцять,"0,03",Партія не пройшла
Єдність Олександра Омельченка,6,6,Мазурчак Юлія Борисівна,15,п'ятнадцять,"0,03",Не пройшов
Єдність Олександра Омельченка,11,7,Самолудченко Олеся Анатоліївна,15,п'ятнадцять,"0,03",Міський список
За майбутнє,3,5,Микитченко Володимир Володимирович,15,п'ятнадцять,"0,03",Партія не пройшла
Народовладдя,5,5,Омельченко Віталій Михайлович,15,п'ятнадцять,"0,03",Партія не пройшла
Народовладдя,5,7,Фещенко Алла Миколаївна,15,п'ятнадцять,"0,03",Партія не пройшла
Народовладдя,10,2,Брухаль Назар Богданович,15,п'ятнадцять,"0,03",Партія не пройшла
Наш край,4,7,Кеда Денис Генадійович,15,п'ятнадцять,"0,03",Партія не пройшла
Наш край,6,4,Слинявчук Юрій Петрович,15,п'ятнадцять,"0,03",Партія не пройшла
Наш край,10,3,Чудовський Андрій Ігорович,15,п'ятнадцять,"0,03",Партія не пройшла
Правий сектор,5,4,Лєбєдєва Тетяна Володимирівна,15,п'ятнадцять,"0,03",Партія не пройшла
Правий сектор,10,4,Рябченко Вадим Вікторович,15,п'ятнадцять,"0,03",Партія не пройшла
Радикальна партія Олега Ляшка,3,2,Амбросимова Христина Миколаївна,15,п'ятнадцять,"0,03",Партія не пройшла
Радикальна партія Олега Ляшка,5,6,Сидоренко Володимир Дмитрович,15,п'ятнадцять,"0,03",Партія не пройшла
Радикальна партія Олега Ляшка,10,1,Одинаєв Назар Олександрович,15,п'ятнадцять,"0,03",Партія не пройшла
Разом сила,11,1,Давидюк Ігор Сергійович,15,п'ятнадцять,"0,03",Партія не пройшла
Свобода,3,5,Гауліна Наталія Дмитрівна,15,п'ятнадцять,"0,03",Партія не пройшла
Хвиля,6,4,Жеведь Людмила Федосіївна,15,п'ятнадцять,"0,03",Партія не пройшла
За майбутнє,6,4,Підтабачна Оксана Сергіївна,14,чотирнадцять,"0,03",Партія не пройшла
Народовладдя,10,7,Кубенко Лариса Георгіївна,14,чотирнадцять,"0,03",Партія не пройшла
Народовладдя,11,5,Батюк Алла Михайлівна,14,чотирнадцять,"0,03",Партія не пройшла
Наш край,3,5,Курбанова Тетяна Григорівна,14,чотирнадцять,"0,03",Партія не пройшла
Наш край,11,6,Бакуменко Олександр Данилович,14,чотирнадцять,"0,03",Партія не пройшла
Пропозиція,11,2,Матковська Діана Володимирівна,14,чотирнадцять,"0,03",Партія не пройшла
Еко партія Берези,11,3,Пасенко Олександр Андрійович,13,тринадцять,"0,03",Партія не пройшла
Екологічна альтернатива,6,4,Хала Мар’яна-Марія Василівна,13,тринадцять,"0,03",Партія не пройшла
Народовладдя,6,6,Нестеренко Марина Володимирівна,13,тринадцять,"0,03",Партія не пройшла
Наш край,10,7,Колеснікова Наталія Григорівна,13,тринадцять,"0,03",Партія не пройшла
Наш край,10,8,Лавриненко Дмитро Анатолійович,13,тринадцять,"0,03",Партія не пройшла
Наш край,11,5,Борисенко Ірина Олександрівна,13,тринадцять,"0,03",Партія не пройшла
Правий сектор,10,3,Волкова Олена Вікторівна,13,тринадцять,"0,03",Партія не пройшла
Пропозиція,11,7,Вартанова Світлана Ігорівна,13,тринадцять,"0,03",Партія не пройшла
Батьківщина,5,6,Яловик Сергій Володимирович,13,тринадцять,"0,03",Не пройшов
За майбутнє,8,6,Косенко Сергій Анатолійович,10,десять,"0,03",Партія не пройшла
Наш край,8,8,Крючкова Наталія Едуардівна,10,десять,"0,03",Партія не пройшла
Партія національного егоїзму,8,1,Матус Світлана Антонівна,10,десять,"0,03",Партія не пройшла
Еко партія Берези,8,3,Вальчишен Максим Олександрович,9,дев'ять,"0,03",Партія не пройшла
Наш край,8,5,Левківська Ганна Вікторівна,9,дев'ять,"0,03",Партія не пройшла
Правий сектор,8,2,Синіцин Андрій Валерійович,9,дев'ять,"0,03",Партія не пройшла
Хвиля,8,3,Климова Ірина Сергіївна,9,дев'ять,"0,03",Партія не пройшла
Хвиля,2,1,Борисова Олександра Володимирівна,28,двадцять вісім,"0,02",Партія не пройшла
Еко партія Берези,2,3,Пишун Сергій Іванович,27,двадцять сім,"0,02",Партія не пройшла
Правий сектор,2,2,Півень Андрій Миколайович,27,двадцять сім,"0,02",Партія не пройшла
Наш край,2,6,Лукашова Єлизавета Валентинівна,25,двадцять п'ять,"0,02",Партія не пройшла
Пропозиція,2,7,Гордіюк Наталія Петрівна,24,двадцять чотири,"0,02",Партія не пройшла
Партія національного егоїзму,2,1,Степаненко Олександр Степанович,23,двадцять три,"0,02",Партія не пройшла
За майбутнє,12,8,Заєц Валерій Анатолійович,22,двадцять два,"0,02",Партія не пройшла
Наш край,2,7,Храбров Євген Петрович,22,двадцять два,"0,02",Партія не пройшла
Разом сила,2,3,Філонова Олена Дмитрівна,22,двадцять два,"0,02",Партія не пройшла
Наш край,2,9,Місурагін Федір Вячеславович,21,двадцять один,"0,02",Партія не пройшла
Наш край,12,7,Попович Лариса Олексіївна,21,двадцять один,"0,02",Партія не пройшла
Правий сектор,7,2,Дюльгерова Анастасія Леонідівна,21,двадцять один,"0,02",Партія не пройшла
Батьківщина,12,6,Клепач Ігор Вікторович,20,двадцять,"0,02",Не пройшов
Наш край,7,8,Стеценко Дмитро Юрійович,20,двадцять,"0,02",Партія не пройшла
Наш край,12,4,Камінський Олександр Вікторович,20,двадцять,"0,02",Партія не пройшла
Пропозиція,12,2,Самборський Олександр Михайлович,20,двадцять,"0,02",Партія не пройшла
Хвиля,2,2,Тарасюк Олександр Михайлович,20,двадцять,"0,02",Партія не пройшла
Правий сектор,7,4,Алєксєєва Альона Євгенівна,19,дев'ятнадцять,"0,02",Партія не пройшла
Радикальна партія Олега Ляшка,12,2,Шпильова Ірина Василівна,19,дев'ятнадцять,"0,02",Партія не пройшла
Разом сила,7,5,Косенко Валентин Валерійович,19,дев'ятнадцять,"0,02",Партія не пройшла
Демократична сокира,7,6,Пархоменко Вєлта Ігорівна,18,вісімнадцять,"0,02",Партія не пройшла
Екологічна альтернатива,12,6,Лукшина Олена Леонідівна,18,вісімнадцять,"0,02",Партія не пройшла
За майбутнє,12,11,Моложанов Антон Ігорович,18,вісімнадцять,"0,02",Партія не пройшла
Партія національного егоїзму,12,1,Литвиненко Олексій Миколайович,18,вісімнадцять,"0,02",Партія не пройшла
Правий сектор,12,5,Іванов Ігор Олександрович,18,вісімнадцять,"0,02",Партія не пройшла
За майбутнє,1,2,Мироненко-Шульган Олена Миколаївна,17,сімнадцять,"0,02",Партія не пройшла
За майбутнє,7,8,Кащук Олександр Дмитрович,17,сімнадцять,"0,02",Партія не пройшла
За майбутнє,12,10,Говоруха Марія Олександрівна,17,сімнадцять,"0,02",Партія не пройшла
Наш край,12,2,Петроченко Олексій Вячеславович,17,сімнадцять,"0,02",Партія не пройшла
Наш край,12,5,Пастернак Марина Олександрівна,17,сімнадцять,"0,02",Партія не пройшла
Радикальна партія Олега Ляшка,1,6,Кравченко Надія Іванівна,17,сімнадцять,"0,02",Партія не пройшла
Хвиля,7,5,Дроговоз Юлія Сергіївна,17,сімнадцять,"0,02",Партія не пройшла
Демократична сокира,7,9,Миколишин Михайло Юрійович,16,шістнадцять,"0,02",Партія не пройшла
За майбутнє,12,5,Аветисян Нвер Олексійович,16,шістнадцять,"0,02",Партія не пройшла
За майбутнє,13,8,Бєлов Ігор Ігорович,16,шістнадцять,"0,02",Партія не пройшла
Наш край,1,7,Демченко Вероніка Сергіївна,16,шістнадцять,"0,02",Партія не пройшла
Наш край,13,2,Шматок Вікторія Василівна,16,шістнадцять,"0,02",Партія не пройшла
Партія національного егоїзму,12,2,Щукін Михайло Михайлович,16,шістнадцять,"0,02",Партія не пройшла
Хвиля,12,5,Дашевська Олександра Андріївна,16,шістнадцять,"0,02",Партія не пройшла
Правий сектор,7,5,Голенков Сергій Борисович,15,п'ятнадцять,"0,02",Партія не пройшла
Пропозиція,7,2,Вертепна Ангеліна Дмитрівна,15,п'ятнадцять,"0,02",Партія не пройшла
Радикальна партія Олега Ляшка,7,2,Новачук Ярослава Іванівна,15,п'ятнадцять,"0,02",Партія не пройшла
Радикальна партія Олега Ляшка,12,4,Линовицький Ігор Олександрович,15,п'ятнадцять,"0,02",Партія не пройшла
Батьківщина,9,7,Іванов Микола Костянтинович,14,чотирнадцять,"0,02",Не пройшов
Єдність Олександра Омельченка,13,9,Лєдовськой Павло Костянтинович,14,чотирнадцять,"0,02",Не пройшов
Народовладдя,9,8,Кулішенко Віктор Павлович,14,чотирнадцять,"0,02",Партія не пройшла
Наш край,1,6,Циганок Вадим Леонідович,14,чотирнадцять,"0,02",Партія не пройшла
Наш край,13,6,Шевченко Олег Олександрович,14,чотирнадцять,"0,02",Партія не пройшла
Пропозиція,9,1,Шалуєв Денис Вячеславович,14,чотирнадцять,"0,02",Партія не пройшла
Радикальна партія Олега Ляшка,9,5,Гайдамака Віра Олександрівна,14,чотирнадцять,"0,02",Партія не пройшла
Народовладдя,1,6,Несвіт Володимир Васильович,13,тринадцять,"0,02",Партія не пройшла
Народовладдя,3,5,Гушовата Оксана Петрівна,13,тринадцять,"0,02",Партія не пройшла
Наш край,9,8,Ахрамєєв Павло Олександрович,13,тринадцять,"0,02",Партія не пройшла
Правий сектор,4,4,Шавловська Маргарита Вадимівна,13,тринадцять,"0,02",Партія не пройшла
Правий сектор,13,2,Дюльгерова Марія Леонідівна,13,тринадцять,"0,02",Партія не пройшла
Радикальна партія Олега Ляшка,1,2,Задунайська Наталія Олександрівна,13,тринадцять,"0,02",Партія не пройшла
Хвиля,4,2,Смоляр Віра Василівна,13,тринадцять,"0,02",Партія не пройшла
Еко партія Берези,10,5,Матвійчук Роксолана Юріївна,12,дванадцять,"0,02",Партія не пройшла
Екологічна альтернатива,10,4,Шитіков Сергій Валерійович,12,дванадцять,"0,02",Партія не пройшла
Екологічна альтернатива,10,6,Пуголовкіна Анастасія Григорівна,12,дванадцять,"0,02",Партія не пройшла
За майбутнє,6,6,Бурдинський Олександр Михайлович,12,дванадцять,"0,02",Партія не пройшла
За майбутнє,9,6,Сищук Аліна Федорівна,12,дванадцять,"0,02",Партія не пройшла
За майбутнє,11,2,Колтун Вікторія Семенівна,12,дванадцять,"0,02",Партія не пройшла
Народовладдя,4,5,Дмитрик Богдан Петрович,12,дванадцять,"0,02",Партія не пройшла
Народовладдя,6,4,Храпаль Богдан Федорович,12,дванадцять,"0,02",Партія не пройшла
Народовладдя,10,6,Сумлєнний Ігор Сергійович,12,дванадцять,"0,02",Партія не пройшла
Наш край,1,2,Власенко Ксенія-Ксена Василівна,12,дванадцять,"0,02",Партія не пройшла
Наш край,5,4,Анохіна Наталія Миколаївна,12,дванадцять,"0,02",Партія не пройшла
Наш край,5,7,Воробйов Ярослав Юрійович,12,дванадцять,"0,02",Партія не пройшла
Наш край,13,7,Войнова Ірина Володимирівна,12,дванадцять,"0,02",Партія не пройшла
Партія національного егоїзму,4,1,Маяк Олександр Сергійович,12,дванадцять,"0,02",Партія не пройшла
Радикальна партія Олега Ляшка,5,5,Симоненко Катерина Олександрівна,12,дванадцять,"0,02",Партія не пройшла
Радикальна партія Олега Ляшка,6,1,Копанайко Сергій Євгенійович,12,дванадцять,"0,02",Партія не пройшла
Разом сила,10,5,Ярмоленко Олександр Сергійович,12,дванадцять,"0,02",Партія не пройшла
Хвиля,4,1,Безпалько Олексій Леонідович,12,дванадцять,"0,02",Партія не пройшла
Хвиля,4,3,Харченко Анна Валеріївна,12,дванадцять,"0,02",Партія не пройшла
Хвиля,11,2,Григоренко Наталія Іванівна,12,дванадцять,"0,02",Партія не пройшла
За майбутнє,3,2,Печура Наталія Сергіївна,11,одинадцять,"0,02",Партія не пройшла
Народовладдя,4,4,Суходольська Анастасія Андріївна,11,одинадцять,"0,02",Партія не пройшла
Народовладдя,4,7,Поздняков Олексій Михайлович,11,одинадцять,"0,02",Партія не пройшла
Народовладдя,4,8,Врачинська Наталія Володимирівна,11,одинадцять,"0,02",Партія не пройшла
Народовладдя,9,5,Лущенко Надія Григорівна,11,одинадцять,"0,02",Партія не пройшла
Народовладдя,9,7,Великорода Марина Олександрівна,11,одинадцять,"0,02",Партія не пройшла
Наш край,10,4,Новіков Володимир Євгенович,11,одинадцять,"0,02",Партія не пройшла
Наш край,11,2,Кулікова Анна Олександрівна,11,одинадцять,"0,02",Партія не пройшла
Партія національного егоїзму,10,1,Волков Андрій Олександрович,11,одинадцять,"0,02",Партія не пройшла
Пропозиція,4,5,Волосовський Владислав Олександрович,11,одинадцять,"0,02",Партія не пройшла
Пропозиція,6,3,Журавель Вадим Володимирович,11,одинадцять,"0,02",Партія не пройшла
Пропозиція,9,2,Бережнюк Тетяна Станіславівна,11,одинадцять,"0,02",Партія не пройшла
Радикальна партія Олега Ляшка,5,2,Поливач Євгенія Романівна,11,одинадцять,"0,02",Партія не пройшла
Радикальна партія Олега Ляшка,10,4,Зікеєва Ольга Василівна,11,одинадцять,"0,02",Партія не пройшла
Свобода,4,10,Хамула Віталій Володимирович,11,одинадцять,"0,02",Партія не пройшла
Хвиля,10,6,Сокол Алла Василівна,11,одинадцять,"0,02",Партія не пройшла
Еко партія Берези,9,5,Галдецька Олена Ярославівна,10,десять,"0,02",Партія не пройшла
Наш край,3,6,Давидчук Кирило Анатолійович,10,десять,"0,02",Партія не пройшла
Наш край,10,6,Шевчук Орест Михайлович,10,десять,"0,02",Партія не пройшла
Партія національного егоїзму,5,1,Фаренюк Олександр Сергійович,10,десять,"0,02",Партія не пройшла
Правий сектор,5,3,Репяхов Василь Миколайович,10,десять,"0,02",Партія не пройшла
Правий сектор,6,4,Колько Євгенія Юріївна,10,десять,"0,02",Партія не пройшла
Пропозиція,4,2,Димеденко Ірина Віталіївна,10,десять,"0,02",Партія не пройшла
Разом сила,6,1,Славський Михайло Григорович,10,десять,"0,02",Партія не пройшла
Хвиля,6,3,Агаркова Інна Володимирівна,10,десять,"0,02",Партія не пройшла
Хвиля,9,2,Панасюк Андрій Валентинович,10,десять,"0,02",Партія не пройшла
Хвиля,10,3,Валєєв Віктор Вікторович,10,десять,"0,02",Партія не пройшла
Екологічна альтернатива,10,5,Костюченко Дмитро Сергійович,9,дев'ять,"0,02",Партія не пройшла
Екологічна альтернатива,11,4,Козенюк Євген Анатолійович,9,дев'ять,"0,02",Партія не пройшла
За майбутнє,5,4,Шульмейстер Дмитро Юрійович,9,дев'ять,"0,02",Партія не пройшла
За майбутнє,5,6,Ашомка Валентин Васильович,9,дев'ять,"0,02",Партія не пройшла
Народовладдя,10,8,Фризюк Олександр Васильович,9,дев'ять,"0,02",Партія не пройшла
Наш край,6,6,Селюк Ірина Миколаївна,9,дев'ять,"0,02",Партія не пройшла
Наш край,10,9,Потапенко Оксана Іванівна,9,дев'ять,"0,02",Партія не пройшла
Правий сектор,6,5,Голосний Тимофій Валентинович,9,дев'ять,"0,02",Партія не пройшла
Правий сектор,11,4,Сащук Тарас Степанович,9,дев'ять,"0,02",Партія не пройшла
Радикальна партія Олега Ляшка,6,6,Христюк Володимир Михайлович,9,дев'ять,"0,02",Партія не пройшла
Радикальна партія Олега Ляшка,10,5,Троян Юлія Михайлівна,9,дев'ять,"0,02",Партія не пройшла
Радикальна партія Олега Ляшка,11,3,Пойда Олександр Миколайович,9,дев'ять,"0,02",Партія не пройшла
Радикальна партія Олега Ляшка,11,6,Кремнєв Анатолій Володимирович,9,дев'ять,"0,02",Партія не пройшла
Разом сила,6,4,Чернявська Тамара Георгіївна,9,дев'ять,"0,02",Партія не пройшла
Свобода,10,6,Казберч Анатолій Володимирович,9,дев'ять,"0,02",Партія не пройшла
Радикальна партія Олега Ляшка,8,6,Ярмак Віра Миколаївна,8,вісім,"0,02",Партія не пройшла
За майбутнє,8,7,Шумаєва Ірина Кирилівна,7,сім,"0,02",Партія не пройшла
Пропозиція,8,3,Гриців Наталія Василівна,7,сім,"0,02",Партія не пройшла
Народовладдя,8,6,Смичок Антоніна Олегівна,6,шість,"0,02",Партія не пройшла
Наш край,8,4,Колбанцев Віктор Володимирович,6,шість,"0,02",Партія не пройшла
Правий сектор,8,3,Уразбаєва Анастасія Володимирівна,6,шість,"0,02",Партія не пройшла
Радикальна партія Олега Ляшка,8,2,Шевченко Олег Вікторович,6,шість,"0,02",Партія не пройшла
Екологічна альтернатива,2,5,Жаднов Руслан Миколайович,19,дев'ятнадцять,"0,01",Партія не пройшла
Правий сектор,2,4,Омельченко Михайло Андрійович,18,вісімнадцять,"0,01",Партія не пройшла
Пропозиція,2,3,Філь Олексій Олексійович,17,сімнадцять,"0,01",Партія не пройшла
Пропозиція,2,6,Смоловик Валентин Михайлович,17,сімнадцять,"0,01",Партія не пройшла
Хвиля,2,6,Бурий Петро Олексійович,16,шістнадцять,"0,01",Партія не пройшла
Народовладдя,2,9,Нечипоренко Денис Юрійович,15,п'ятнадцять,"0,01",Партія не пройшла
Наш край,2,4,Рубель Ольга Миколаївна,15,п'ятнадцять,"0,01",Партія не пройшла
За майбутнє,7,10,Каратєєв Олександр Олександрович,14,чотирнадцять,"0,01",Партія не пройшла
Народовладдя,2,10,Мислик Анна Вікторівна,14,чотирнадцять,"0,01",Партія не пройшла
Партія національного егоїзму,12,3,Добридень Анна Олександрівна,14,чотирнадцять,"0,01",Партія не пройшла
Радикальна партія Олега Ляшка,12,5,Петрович Ірина Миколаївна,14,чотирнадцять,"0,01",Партія не пройшла
Разом сила,7,3,Чернявський Анатолій Іванович,14,чотирнадцять,"0,01",Партія не пройшла
Хвиля,2,3,Бузанов Сергій Євгенович,14,чотирнадцять,"0,01",Партія не пройшла
Хвиля,2,5,Згур’єва Оксана Анатоліївна,14,чотирнадцять,"0,01",Партія не пройшла
За майбутнє,12,9,Прокопенко Сергій Сергійович,13,тринадцять,"0,01",Партія не пройшла
Народовладдя,7,6,Чорнопищук Олександр Анатолійович,13,тринадцять,"0,01",Партія не пройшла
Наш край,7,6,Шемчук Андрій Володимирович,13,тринадцять,"0,01",Партія не пройшла
За майбутнє,7,7,Тополова Євгенія Павлівна,12,дванадцять,"0,01",Партія не пройшла
Народовладдя,2,4,Келюх Юрій Миколайович,12,дванадцять,"0,01",Партія не пройшла
Пропозиція,2,11,Козацька Анна В’ячеславівна,12,дванадцять,"0,01",Партія не пройшла
Пропозиція,7,5,Жарнікова Валерія Владиславівна,12,дванадцять,"0,01",Партія не пройшла
Радикальна партія Олега Ляшка,2,5,Блощенко Людмила Василівна,12,дванадцять,"0,01",Партія не пройшла
Радикальна партія Олега Ляшка,2,6,Ішков Олександр Васильович,12,дванадцять,"0,01",Партія не пройшла
Радикальна партія Олега Ляшка,7,5,Строкань Євген Владиславович,12,дванадцять,"0,01",Партія не пройшла
Екологічна альтернатива,7,4,Ігуменцев Андрій Володимирович,11,одинадцять,"0,01",Партія не пройшла
За майбутнє,13,11,Віслобоков Богдан Олександрович,11,одинадцять,"0,01",Партія не пройшла
